Ref,Val,Package,PosX,PosY,Rot,Side
"D136","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",57.500000,-26.350000,0.000000,top
"D137","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",62.500000,-26.350000,0.000000,top
"D138","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",67.500000,-26.350000,0.000000,top
"D139","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",72.500000,-26.350000,0.000000,top
"D140","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",77.500000,-26.350000,0.000000,top
"D141","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",82.500000,-26.350000,0.000000,top
"D142","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",87.500000,-26.350000,0.000000,top
"D143","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",92.500000,-26.350000,0.000000,top
"D144","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",97.500000,-26.350000,0.000000,top
"D145","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",102.500000,-26.350000,0.000000,top
"D146","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",107.500000,-26.350000,0.000000,top
"D147","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",112.500000,-26.350000,0.000000,top
"D148","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",117.500000,-26.350000,0.000000,top
"D149","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",122.500000,-26.350000,0.000000,top
"D150","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",127.500000,-26.350000,0.000000,top
"D151","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",132.500000,-26.350000,0.000000,top
"D152","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",137.500000,-26.350000,0.000000,top
"D153","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.500000,-26.350000,0.000000,top
"D154","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",147.500000,-26.350000,0.000000,top
"D155","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",152.500000,-26.350000,0.000000,top
"D156","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",157.500000,-26.350000,0.000000,top
"D157","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",162.500000,-26.350000,0.000000,top
"D158","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.500000,-26.350000,0.000000,top
"D159","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",172.500000,-26.350000,0.000000,top
"D160","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",177.500000,-26.350000,0.000000,top
"D161","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",22.500000,-31.350000,0.000000,top
"D162","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.500000,-31.350000,0.000000,top
"D163","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.500000,-31.350000,0.000000,top
"D164","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.500000,-31.350000,0.000000,top
"D165","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",42.500000,-31.350000,0.000000,top
"D166","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",47.500000,-31.350000,0.000000,top
"D167","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",52.500000,-31.350000,0.000000,top
"D168","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",57.500000,-31.350000,0.000000,top
"D169","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",62.500000,-31.350000,0.000000,top
"D170","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",67.500000,-31.350000,0.000000,top
"D171","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",72.500000,-31.350000,0.000000,top
"D172","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",77.500000,-31.350000,0.000000,top
"D173","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",82.500000,-31.350000,0.000000,top
"D174","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",87.500000,-31.350000,0.000000,top
"D175","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",92.500000,-31.350000,0.000000,top
"D176","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",97.500000,-31.350000,0.000000,top
"D177","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",102.500000,-31.350000,0.000000,top
"D178","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",107.500000,-31.350000,0.000000,top
"D179","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",112.500000,-31.350000,0.000000,top
"D180","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",117.500000,-31.350000,0.000000,top
"D181","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",122.500000,-31.350000,0.000000,top
"D182","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",127.500000,-31.350000,0.000000,top
"D183","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",132.500000,-31.350000,0.000000,top
"D184","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",137.500000,-31.350000,0.000000,top
"D185","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.500000,-31.350000,0.000000,top
"D186","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",147.500000,-31.350000,0.000000,top
"D187","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",152.500000,-31.350000,0.000000,top
"D188","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",157.500000,-31.350000,0.000000,top
"D189","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",162.500000,-31.350000,0.000000,top
"D190","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.500000,-31.350000,0.000000,top
"D191","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",172.500000,-31.350000,0.000000,top
"D192","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",177.500000,-31.350000,0.000000,top
"D193","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",22.500000,-36.350000,0.000000,top
"D194","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",27.500000,-36.350000,0.000000,top
"D195","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.500000,-36.350000,0.000000,top
"D196","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.500000,-36.350000,0.000000,top
"D197","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",42.500000,-36.350000,0.000000,top
"D198","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",47.500000,-36.350000,0.000000,top
"D199","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",52.500000,-36.350000,0.000000,top
"D200","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",57.500000,-36.350000,0.000000,top
"D201","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",62.500000,-36.350000,0.000000,top
"D202","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",67.500000,-36.350000,0.000000,top
"D203","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",72.500000,-36.350000,0.000000,top
"D204","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",77.500000,-36.350000,0.000000,top
"D205","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",82.500000,-36.350000,0.000000,top
"D206","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",87.500000,-36.350000,0.000000,top
"D207","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",92.500000,-36.350000,0.000000,top
"D208","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",97.500000,-36.350000,0.000000,top
"D209","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",102.500000,-36.350000,0.000000,top
"D210","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",107.500000,-36.350000,0.000000,top
"D211","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",112.500000,-36.350000,0.000000,top
"D212","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",117.500000,-36.350000,0.000000,top
"D213","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",122.500000,-36.350000,0.000000,top
"D214","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",127.500000,-36.350000,0.000000,top
"D215","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",132.500000,-36.350000,0.000000,top
"D216","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",137.500000,-36.350000,0.000000,top
"D217","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",142.500000,-36.350000,0.000000,top
"D218","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",147.500000,-36.350000,0.000000,top
"D219","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",152.500000,-36.350000,0.000000,top
"D220","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",157.500000,-36.350000,0.000000,top
"D221","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",162.500000,-36.350000,0.000000,top
